Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Connector Types,Access Code,Facility Type,Total_Chargers,Has_Level1,Has_Level2,Has_DC_Fast,ZIP_int,zip_code_int,county_name,electricity_rate_per_kwh,rate_tier
Vons 350 North Lemon Ave Walnut	CA,350 North Lemon Ave,Walnut,CA,91789,0.0,2.0,0.0,Volta,J1772,public,,2.0,False,True,False,91789,,Los Angeles,0.3,Low
Hub LA Coliseum Parking Garage Lower Level,3800 South Figueroa Street,Los Angeles,CA,90037,0.0,3.0,0.0,Volta,J1772,public,,3.0,False,True,False,90037,90037,Los Angeles,0.3,Low
CCSF - Ocean Campus South Parking Lot,50 Frida Kahlo Way,San Francisco,CA,94112,0.0,2.0,0.0,Volta,J1772,public,,2.0,False,True,False,94112,,San Francisco,0.4597,High
Nema Valet Parking Garage DCFC,8 10th Street,San Francisco,CA,94103,0.0,0.0,2.0,Volta,J1772COMBO,public,,2.0,False,False,True,94103,,San Francisco,0.4597,High
Conway Homes,741 Flint Ave,Stockton,CA,95206,0.0,6.0,2.0,EVCS,CHADEMO J1772 J1772COMBO,public,MULTI_UNIT_DWELLING,8.0,False,True,True,95206,,Sacramento,0.3869,Medium
Firestone Complete Auto Care - Plaza West Covina,1035 W Covina Pkwy,West Covina,CA,91790,0.0,2.0,0.0,Blink Network,J1772,public,,2.0,False,True,False,91790,,Los Angeles,0.3,Low
Grove Senior Apartments,815 Civic Center Drive,Vista,CA,92084,0.0,1.0,0.0,Blink Network,J1772,public,,1.0,False,True,False,92084,92084,San Diego,0.4597,High
I-10 FIESTA KIA WL1,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA WL5,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA WL3,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA WL4,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA WL2,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA EL1,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA EL5,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA EL3,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA EL2,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
I-10 FIESTA KIA EL4,78550 Varner Rd,Indio,CA,92203,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92203,92203,Riverside,0.3869,Medium
Sacramento Regional Transit 29th Street Yard,1400 29th Street,Sacramento,CA,95816,0.0,0.0,5.0,Electrify America,J1772COMBO,public,,5.0,False,False,True,95816,,Sacramento,0.3869,Medium
Kerman City Hall,850 South Madera Avenue,Kerman,CA,93630,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,93630,,Los Angeles,0.3,Low
UC Davis Medical Center,2401 45th Street,Sacramento,CA,95816,0.0,0.0,1.0,Electrify America,J1772COMBO,public,,1.0,False,False,True,95816,,Sacramento,0.3869,Medium
"Walmart 1910 - Crescent City, CA",900 East Washington Blvd,Crescent City,CA,95531,0.0,0.0,5.0,Electrify America,CHADEMO J1772COMBO,public,,5.0,False,False,True,95531,,Sacramento,0.3869,Medium
Rancho Cordova MOB,10725 International Dr,Rancho Cordova,CA,95670,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,95670,95670,Sacramento,0.3869,Medium
East Hills MOB,3700 Mall View Rd,Bakerfield,CA,93306,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,93306,,Los Angeles,0.3,Low
Temecula MOB,27309 Madison Ave,Temecula,CA,92590,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,92590,,Orange,0.3869,Medium
Maldonado Park,1601 Thomas Conboy Avenue,Firebaugh,CA,93622,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,93622,,Los Angeles,0.3,Low
Non Public,7373 Gateway Blvd,Newark,CA,94560,0.0,0.0,2.0,Electrify America,J1772COMBO,public,,2.0,False,False,True,94560,,San Francisco,0.4597,High
